Time after synchronization (s),ADC I on secondary,ADC Q on secondary
0.000010860,808,-108
0.000010870,908,412
0.000010880,64,-172
0.000010890,468,-764
0.000010900,556,-536
0.000010910,340,52
0.000010920,580,-36
0.000010930,628,-332
0.000010940,348,-424
0.000010950,440,-404
0.000010960,696,-488
0.000010970,196,-340
0.000010980,764,-756
0.000010990,8,44
0.000011000,44,124
0.000011010,484,-200
0.000011020,1284,-564
0.000011030,384,-180
0.000011040,-268,-32
0.000011050,628,40
0.000011060,580,-128
0.000011070,536,40
0.000011080,516,-100
0.000011090,712,456
0.000011100,164,-220
0.000011110,468,-440
0.000011120,-268,284
0.000011130,308,-360
0.000011140,1012,-140
0.000011150,192,-100
0.000011160,288,-132
0.000011170,320,-400
0.000011180,-108,-320
0.000011190,640,-180
0.000011200,628,-260
0.000011210,260,220
0.000011220,472,-172
0.000011230,460,-320
0.000011240,564,-496
0.000011250,344,-392
0.000011260,776,-508
0.000011270,756,244
0.000011280,204,-540
0.000011290,720,44
0.000011300,300,308
0.000011310,344,424
0.000011320,540,-220
0.000011330,360,12
0.000011340,960,516
0.000011350,176,-40
0.000011360,432,-532
0.000011370,1036,180
0.000011380,652,-100
0.000011390,768,4
0.000011400,1292,-484
0.000011410,1004,-20
0.000011420,264,-652
0.000011430,668,-912
0.000011440,868,252
0.000011450,428,-44
0.000011460,468,-80
0.000011470,168,-208
0.000011480,448,188
0.000011490,872,72
0.000011500,36,-264
0.000011510,332,-560
0.000011520,-204,-48
0.000011530,872,-52
0.000011540,308,-612
0.000011550,564,-208
0.000011560,800,-292
0.000011570,-244,-316
0.000011580,460,-112
0.000011590,528,-304
0.000011600,560,-540
0.000011610,548,-796
0.000011620,788,-340
0.000011630,272,112
0.000011640,352,-568
0.000011650,336,-824
0.000011660,452,-36
0.000011670,340,-308
0.000011680,380,-164
0.000011690,852,-516
0.000011700,584,160
0.000011710,740,-76
0.000011720,72,-204
0.000011730,1092,-88
0.000011740,764,-380
0.000011750,288,-480
0.000011760,440,-204
0.000011770,432,-364
0.000011780,976,384
0.000011790,60,-276
0.000011800,528,-168
0.000011810,68,-140
0.000011820,16,-212
0.000011830,772,236
0.000011840,480,-824
0.000011850,104,-252
0.000011860,396,-152
0.000011870,544,-480
0.000011880,576,-8
0.000011890,264,-368
0.000011900,444,-504
0.000011910,328,-664
0.000011920,636,-76
