Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000004210,-500,-500
0.000004220,-540,-540
0.000004230,-180,-180
0.000004240,-452,-452
0.000004250,-616,-616
0.000004260,-508,-508
0.000004270,-476,-476
0.000004280,-108,-108
0.000004290,-736,-736
0.000004300,-528,-528
0.000004310,40,40
0.000004320,-392,-392
0.000004330,-192,-192
0.000004340,-356,-356
0.000004350,-432,-432
0.000004360,-200,-200
0.000004370,-104,-104
0.000004380,492,492
0.000004390,-128,-128
0.000004400,184,184
0.000004410,496,496
0.000004420,-56,-56
0.000004430,756,756
0.000004440,588,588
0.000004450,628,628
0.000004460,908,908
0.000004470,756,756
0.000004480,1240,1240
0.000004490,844,844
0.000004500,1184,1184
0.000004510,1240,1240
0.000004520,1488,1488
0.000004530,1532,1532
0.000004540,1376,1376
0.000004550,1860,1860
0.000004560,1644,1644
0.000004570,1652,1652
0.000004580,1724,1724
0.000004590,1744,1744
0.000004600,1860,1860
0.000004610,1924,1924
0.000004620,2060,2060
0.000004630,2204,2204
0.000004640,1760,1760
0.000004650,2296,2296
0.000004660,2216,2216
0.000004670,1892,1892
0.000004680,1968,1968
0.000004690,2080,2080
0.000004700,2204,2204
0.000004710,2220,2220
0.000004720,2016,2016
0.000004730,2312,2312
0.000004740,2456,2456
0.000004750,2088,2088
0.000004760,2416,2416
0.000004770,2756,2756
0.000004780,2016,2016
0.000004790,2208,2208
0.000004800,1872,1872
0.000004810,1976,1976
0.000004820,2008,2008
0.000004830,2072,2072
0.000004840,1936,1936
0.000004850,1784,1784
0.000004860,1708,1708
0.000004870,1772,1772
0.000004880,1504,1504
0.000004890,1368,1368
0.000004900,1616,1616
0.000004910,1524,1524
0.000004920,1352,1352
0.000004930,1248,1248
0.000004940,1200,1200
0.000004950,1184,1184
0.000004960,924,924
0.000004970,980,980
0.000004980,700,700
0.000004990,636,636
0.000005000,516,516
0.000005010,732,732
0.000005020,744,744
0.000005030,512,512
0.000005040,432,432
0.000005050,216,216
0.000005060,-116,-116
0.000005070,32,32
0.000005080,136,136
0.000005090,-24,-24
0.000005100,148,148
0.000005110,-108,-108
0.000005120,-36,-36
0.000005130,-556,-556
0.000005140,-564,-564
0.000005150,-232,-232
0.000005160,-428,-428
0.000005170,-68,-68
0.000005180,-240,-240
0.000005190,-260,-260
0.000005200,-964,-964
0.000005210,-600,-600
0.000005220,-636,-636
0.000005230,-544,-544
0.000005240,-520,-520
0.000005250,-336,-336
0.000005260,-284,-284
0.000005270,-272,-272
0.000005280,-268,-268
0.000005290,-480,-480
0.000005300,-272,-272
0.000005310,-472,-472
0.000005320,-96,-96
0.000005330,-200,-200
0.000005340,124,124
0.000005350,32,32
0.000005360,-44,-44
0.000005370,12,12
0.000005380,-140,-140
0.000005390,180,180
0.000005400,180,180
0.000005410,312,312
0.000005420,408,408
0.000005430,468,468
0.000005440,368,368
0.000005450,608,608
0.000005460,784,784
0.000005470,788,788
0.000005480,952,952
0.000005490,1032,1032
0.000005500,1016,1016
0.000005510,1300,1300
0.000005520,1212,1212
0.000005530,1500,1500
0.000005540,1388,1388
0.000005550,1408,1408
0.000005560,1584,1584
0.000005570,1700,1700
0.000005580,1676,1676
0.000005590,1772,1772
0.000005600,1968,1968
0.000005610,2124,2124
0.000005620,2012,2012
0.000005630,2008,2008
0.000005640,2024,2024
0.000005650,2112,2112
0.000005660,2248,2248
0.000005670,2420,2420
0.000005680,2176,2176
0.000005690,2188,2188
0.000005700,2180,2180
0.000005710,2196,2196
0.000005720,2500,2500
0.000005730,1992,1992
0.000005740,2332,2332
0.000005750,1996,1996
0.000005760,2080,2080
0.000005770,2228,2228
0.000005780,2344,2344
0.000005790,1956,1956
0.000005800,2080,2080
0.000005810,2016,2016
0.000005820,2192,2192
0.000005830,1916,1916
0.000005840,1940,1940
0.000005850,1732,1732
0.000005860,1936,1936
0.000005870,1844,1844
0.000005880,1572,1572
0.000005890,1264,1264
0.000005900,876,876
0.000005910,984,984
0.000005920,696,696
0.000005930,620,620
0.000005940,964,964
0.000005950,904,904
0.000005960,452,452
0.000005970,756,756
0.000005980,444,444
0.000005990,1032,1032
0.000006000,496,496
0.000006010,744,744
0.000006020,976,976
0.000006030,964,964
0.000006040,396,396
0.000006050,796,796
0.000006060,676,676
0.000006070,684,684
0.000006080,964,964
0.000006090,696,696
0.000006100,824,824
0.000006110,636,636
0.000006120,836,836
0.000006130,800,800
0.000006140,1124,1124
0.000006150,948,948
0.000006160,720,720
0.000006170,496,496
0.000006180,720,720
0.000006190,1120,1120
0.000006200,936,936
0.000006210,984,984
0.000006220,1156,1156
0.000006230,1100,1100
0.000006240,452,452
0.000006250,904,904
0.000006260,768,768
0.000006270,744,744
0.000006280,980,980
0.000006290,944,944
0.000006300,896,896
0.000006310,848,848
0.000006320,812,812
0.000006330,772,772
0.000006340,872,872
0.000006350,1088,1088
0.000006360,948,948
0.000006370,688,688
0.000006380,760,760
0.000006390,1028,1028
0.000006400,1044,1044
0.000006410,664,664
0.000006420,720,720
0.000006430,896,896
0.000006440,1128,1128
0.000006450,976,976
0.000006460,732,732
0.000006470,1072,1072
0.000006480,672,672
0.000006490,860,860
0.000006500,876,876
0.000006510,828,828
0.000006520,768,768
0.000006530,916,916
0.000006540,620,620
0.000006550,1124,1124
0.000006560,1188,1188
0.000006570,804,804
0.000006580,956,956
0.000006590,1108,1108
0.000006600,872,872
0.000006610,840,840
0.000006620,912,912
0.000006630,960,960
0.000006640,772,772
0.000006650,584,584
0.000006660,856,856
0.000006670,956,956
0.000006680,768,768
0.000006690,708,708
0.000006700,868,868
0.000006710,1012,1012
0.000006720,936,936
0.000006730,864,864
0.000006740,1264,1264
0.000006750,796,796
0.000006760,896,896
0.000006770,848,848
0.000006780,732,732
0.000006790,1060,1060
0.000006800,1064,1064
0.000006810,748,748
0.000006820,1104,1104
0.000006830,836,836
0.000006840,880,880
0.000006850,860,860
0.000006860,828,828
0.000006870,608,608
0.000006880,596,596
0.000006890,892,892
0.000006900,564,564
0.000006910,688,688
0.000006920,944,944
0.000006930,260,260
0.000006940,1008,1008
0.000006950,900,900
0.000006960,816,816
0.000006970,1128,1128
0.000006980,796,796
0.000006990,800,800
0.000007000,732,732
0.000007010,992,992
0.000007020,1024,1024
0.000007030,728,728
