Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000006600,1216,288
0.000006610,1096,544
0.000006620,928,728
0.000006630,692,840
0.000006640,452,844
0.000006650,288,708
0.000006660,300,536
0.000006670,364,224
0.000006680,676,-24
0.000006690,1012,-200
0.000006700,1184,-100
0.000006710,1228,148
0.000006720,1016,520
0.000006730,680,720
0.000006740,416,732
0.000006750,392,576
0.000006760,688,140
0.000006770,960,-84
0.000006780,1172,-52
0.000006790,1028,260
0.000006800,652,564
0.000006810,480,620
0.000006820,540,320
0.000006830,900,48
0.000006840,1116,-88
0.000006850,1084,176
0.000006860,740,508
0.000006870,532,600
0.000006880,536,440
0.000006890,824,52
0.000006900,988,8
0.000006910,900,296
0.000006920,604,508
0.000006930,524,432
0.000006940,840,144
0.000006950,1056,100
0.000006960,916,336
0.000006970,532,548
0.000006980,512,520
0.000006990,872,144
0.000007000,1124,-4
0.000007010,904,296
0.000007020,536,648
0.000007030,456,468
0.000007040,920,20
0.000007050,1172,-84
0.000007060,872,304
0.000007070,488,680
0.000007080,596,444
0.000007090,1000,-76
0.000007100,1096,12
0.000007110,700,468
0.000007120,452,612
0.000007130,804,204
0.000007140,1108,-36
0.000007150,916,252
0.000007160,536,600
0.000007170,616,392
0.000007180,1004,40
0.000007190,964,64
0.000007200,600,532
0.000007210,472,480
0.000007220,864,128
0.000007230,1044,52
0.000007240,732,420
0.000007250,616,544
0.000007260,836,276
0.000007270,1044,84
0.000007280,740,352
0.000007290,516,504
0.000007300,772,248
0.000007310,964,132
0.000007320,756,356
0.000007330,576,452
0.000007340,884,248
0.000007350,996,68
0.000007360,696,360
0.000007370,592,472
0.000007380,780,268
0.000007390,916,116
0.000007400,704,380
0.000007410,588,464
0.000007420,840,228
0.000007430,936,160
0.000007440,692,364
0.000007450,644,412
0.000007460,840,220
0.000007470,880,164
0.000007480,740,420
0.000007490,712,404
0.000007500,952,128
0.000007510,868,228
0.000007520,692,416
0.000007530,768,316
0.000007540,972,168
0.000007550,804,288
0.000007560,652,464
0.000007570,776,260
0.000007580,936,128
0.000007590,728,264
0.000007600,652,436
0.000007610,856,196
0.000007620,868,180
0.000007630,744,376
0.000007640,724,356
0.000007650,884,148
0.000007660,848,260
0.000007670,728,420
0.000007680,748,336
0.000007690,896,128
0.000007700,756,308
0.000007710,672,348
0.000007720,824,276
0.000007730,932,148
0.000007740,748,400
0.000007750,712,388
0.000007760,880,256
0.000007770,820,176
0.000007780,684,384
0.000007790,748,368
